time_start,time_end,Source,Target
120,140,1157,1232
140,160,1157,1191
480,500,1157,1159
500,520,1157,1159
540,560,1159,1191
560,580,1159,1191
580,600,1159,1191
600,620,1159,1191
660,680,1159,1191
660,680,1144,1159
680,700,1144,1191
700,720,1144,1191
720,740,1144,1191
740,760,1144,1191
760,780,1144,1191
780,800,1144,1191
800,820,1144,1191
820,840,1144,1191
840,860,1144,1191
860,880,1144,1191
880,900,1144,1191
900,920,1157,1159
900,920,1144,1191
900,920,1144,1159
920,940,1157,1159
920,940,1144,1159
940,960,1157,1159
940,960,1144,1159
960,980,1144,1159
1780,1800,1152,1191
1800,1820,1152,1191
1820,1840,1152,1191
2240,2260,1105,1295
2320,2340,1105,1295
2400,2420,1157,1191
2420,2440,1157,1191
2460,2480,1157,1191
2560,2580,1105,1295
2600,2620,1105,1295
2680,2700,1109,1295
2700,2720,1105,1295
2880,2900,1105,1114
3180,3200,1105,1295
3700,3720,1109,1115
3720,3740,1109,1115
3740,3760,1109,1295
3960,3980,1098,1181
4000,4020,1105,1109
4000,4020,1105,1295
4060,4080,1098,1164
4140,4160,1105,1295
4140,4160,1116,1164
4160,4180,1164,1295
4160,4180,1232,1295
4160,4180,1105,1295
4160,4180,1109,1164
4160,4180,1116,1164
4160,4180,1116,1295
4180,4200,1109,1232
4180,4200,1116,1164
4200,4220,1109,1232
4220,4240,1114,1295
4220,4240,1193,1232
4220,4240,1109,1232
4220,4240,1116,1164
4240,4260,1109,1193
4240,4260,1193,1295
4260,4280,1142,1149
4260,4280,1109,1232
4260,4280,1098,1114
4260,4280,1116,1164
4260,4280,1109,1295
4260,4280,1193,1295
4280,4300,1116,1193
4280,4300,1164,1193
4280,4300,1116,1164
4280,4300,1193,1295
4300,4320,1116,1193
4300,4320,1164,1295
4300,4320,1164,1193
4300,4320,1105,1164
4300,4320,1193,1295
4300,4320,1116,1295
4320,4340,1164,1295
4320,4340,1114,1116
4320,4340,1105,1179
4340,4360,1105,1232
4340,4360,1098,1114
4340,4360,1179,1232
4360,4380,1114,1116
4360,4380,1193,1232
4360,4380,1105,1232
4360,4380,1098,1114
4380,4400,1181,1232
4380,4400,1105,1232
4380,4400,1164,1232
4380,4400,1098,1114
4380,4400,1105,1164
4400,4420,1114,1116
4400,4420,1181,1295
4400,4420,1098,1114
4400,4420,1232,1295
4400,4420,1105,1295
4400,4420,1105,1164
4420,4440,1098,1114
4420,4440,1232,1295
4440,4460,1105,1232
4440,4460,1105,1295
4460,4480,1105,1109
4460,4480,1098,1193
4460,4480,1105,1232
4460,4480,1105,1193
4460,4480,1105,1295
4460,4480,1109,1193
4460,4480,1109,1295
4480,4500,1105,1109
4480,4500,1105,1232
4480,4500,1105,1193
4480,4500,1109,1193
4480,4500,1193,1295
4500,4520,1116,1193
4500,4520,1105,1193
4500,4520,1105,1295
4500,4520,1105,1116
4500,4520,1193,1295
4520,4540,1105,1109
4520,4540,1105,1193
4520,4540,1157,1191
4520,4540,1105,1295
4520,4540,1109,1193
4520,4540,1193,1295
4540,4560,1116,1193
4540,4560,1105,1109
4540,4560,1105,1193
4540,4560,1157,1191
4540,4560,1105,1295
4540,4560,1105,1116
4540,4560,1109,1295
4540,4560,1193,1295
4560,4580,1105,1109
4560,4580,1157,1191
4560,4580,1109,1193
4560,4580,1109,1295
4580,4600,1105,1232
4580,4600,1157,1191
4580,4600,1109,1149
4600,4620,1149,1232
4600,4620,1157,1191
4620,4640,1105,1109
4620,4640,1149,1232
4620,4640,1157,1191
4640,4660,1157,1191
4660,4680,1157,1191
4680,4700,1149,1232
4680,4700,1157,1191
4700,4720,1142,1149
4700,4720,1157,1191
4720,4740,1098,1114
4720,4740,1157,1191
4740,4760,1157,1191
4760,4780,1114,1142
4760,4780,1157,1191
4780,4800,1157,1191
4800,4820,1157,1191
4820,4840,1157,1191
4840,4860,1157,1191
4840,4860,1142,1193
4840,4860,1193,1295
4860,4880,1157,1191
4880,4900,1105,1114
4880,4900,1157,1191
4880,4900,1114,1193
4900,4920,1157,1191
4920,4940,1157,1191
4940,4960,1157,1191
4960,4980,1157,1191
4980,5000,1157,1191
5000,5020,1149,1232
5000,5020,1157,1191
5020,5040,1157,1191
5040,5060,1157,1191
5040,5060,1109,1193
5060,5080,1157,1191
5080,5100,1157,1191
5100,5120,1149,1232
5100,5120,1157,1191
5100,5120,1109,1295
5100,5120,1193,1295
5120,5140,1157,1191
5120,5140,1193,1295
5140,5160,1149,1232
5140,5160,1157,1191
5160,5180,1149,1232
5160,5180,1157,1191
5180,5200,1157,1191
5180,5200,1109,1193
5200,5220,1157,1191
5200,5220,1109,1193
5220,5240,1157,1191
5220,5240,1109,1193
5240,5260,1157,1191
5240,5260,1109,1193
5260,5280,1157,1191
5260,5280,1109,1193
5280,5300,1098,1114
5280,5300,1157,1191
5280,5300,1109,1193
5300,5320,1149,1232
5300,5320,1157,1191
5320,5340,1157,1191
5340,5360,1157,1191
5360,5380,1157,1191
5360,5380,1193,1295
5380,5400,1157,1191
5380,5400,1193,1295
5400,5420,1157,1191
5420,5440,1105,1114
5420,5440,1105,1193
5420,5440,1157,1191
5420,5440,1193,1295
5440,5460,1157,1191
5440,5460,1105,1295
5440,5460,1105,1116
5440,5460,1109,1295
5440,5460,1193,1295
5460,5480,1109,1142
5460,5480,1157,1191
5460,5480,1109,1295
5460,5480,1193,1295
5480,5500,1149,1232
5480,5500,1105,1193
5480,5500,1157,1191
5500,5520,1142,1295
5500,5520,1149,1232
5500,5520,1157,1191
5500,5520,1105,1295
5520,5540,1149,1232
5520,5540,1157,1191
5540,5560,1142,1295
5540,5560,1149,1232
5540,5560,1116,1142
5540,5560,1105,1142
5540,5560,1157,1191
5560,5580,1142,1295
5560,5580,1157,1191
5560,5580,1105,1295
5580,5600,1157,1191
5580,5600,1232,1295
5580,5600,1109,1164
5580,5600,1105,1116
5600,5620,1157,1191
5620,5640,1157,1191
5620,5640,1232,1295
5620,5640,1105,1164
5620,5640,1105,1116
5640,5660,1157,1191
5640,5660,1232,1295
5640,5660,1105,1295
5660,5680,1157,1191
5660,5680,1232,1295
5680,5700,1157,1191
5700,5720,1157,1191
5720,5740,1157,1191
5740,5760,1157,1191
5760,5780,1157,1191
5780,5800,1157,1191
5800,5820,1157,1191
5820,5840,1157,1191
5840,5860,1157,1191
5860,5880,1157,1191
5880,5900,1157,1191
5900,5920,1157,1191
5920,5940,1157,1191
5940,5960,1157,1191
5960,5980,1157,1191
5980,6000,1157,1191
6000,6020,1157,1191
6020,6040,1157,1191
6040,6060,1157,1191
6060,6080,1157,1191
6080,6100,1157,1191
6100,6120,1157,1191
6120,6140,1157,1191
6140,6160,1157,1191
6160,6180,1152,1168
6160,6180,1157,1191
6180,6200,1157,1191
6200,6220,1157,1191
6220,6240,1152,1193
6220,6240,1157,1191
6240,6260,1157,1191
6260,6280,1157,1191
6280,6300,1152,1168
6280,6300,1157,1191
6300,6320,1098,1152
6300,6320,1157,1191
6320,6340,1157,1191
6340,6360,1157,1191
6360,6380,1114,1144
6360,6380,1157,1191
6380,6400,1157,1191
6380,6400,1142,1193
6400,6420,1114,1116
6400,6420,1157,1191
6420,6440,1157,1191
6440,6460,1157,1191
6460,6480,1157,1191
6480,6500,1157,1191
6500,6520,1157,1191
6520,6540,1114,1152
6520,6540,1157,1191
6540,6560,1157,1191
6560,6580,1157,1191
6580,6600,1157,1191
6600,6620,1157,1191
6620,6640,1157,1191
6640,6660,1157,1191
6660,6680,1157,1191
6680,6700,1157,1191
6700,6720,1179,1196
6700,6720,1157,1191
6720,6740,1157,1191
6740,6760,1157,1191
6760,6780,1157,1191
6780,6800,1157,1191
6800,6820,1157,1191
6820,6840,1157,1191
6840,6860,1157,1191
6860,6880,1157,1191
6880,6900,1157,1191
6900,6920,1157,1191
6920,6940,1157,1191
6940,6960,1157,1191
6960,6980,1157,1191
6980,7000,1157,1191
7000,7020,1157,1191
7020,7040,1157,1191
7040,7060,1157,1191
7060,7080,1157,1191
7080,7100,1157,1191
7100,7120,1157,1191
7120,7140,1157,1191
7140,7160,1157,1191
7160,7180,1157,1191
7180,7200,1157,1191
7200,7220,1157,1191
7220,7240,1157,1191
7240,7260,1157,1191
7260,7280,1157,1191
