"","Source","Target"
"3","/wiki/Leonardo_da_Vinci","/wiki/Pieter_Brueghel_the_Elder"
"4","/wiki/Leonardo_da_Vinci","/wiki/Albrecht_D%C3%BCrer"
"5","/wiki/Leonardo_da_Vinci","/wiki/Piero_della_Francesca"
"6","/wiki/Leonardo_da_Vinci","/wiki/Lorenzo_Ghiberti"
"7","/wiki/Leonardo_da_Vinci","/wiki/Giorgione"
"8","/wiki/Leonardo_da_Vinci","/wiki/Hans_Holbein_the_Younger"
"9","/wiki/Leonardo_da_Vinci","/wiki/Andrea_Mantegna"
"10","/wiki/Leonardo_da_Vinci","/wiki/Luis_de_Morales"
"11","/wiki/Leonardo_da_Vinci","/wiki/Antonio_Pisanello"
"12","/wiki/Leonardo_da_Vinci","/wiki/Raphael"
"13","/wiki/Leonardo_da_Vinci","/wiki/Il_Sodoma"
"14","/wiki/Leonardo_da_Vinci","/wiki/Tintoretto"
"15","/wiki/Leonardo_da_Vinci","/wiki/Titian"
"16","/wiki/Leonardo_da_Vinci","/wiki/Gerolamo_Cardano"
"17","/wiki/Leonardo_da_Vinci","/wiki/Luca_Pacioli"
"18","/wiki/Leonardo_da_Vinci","/wiki/Ludovico_Ariosto"
"19","/wiki/Leonardo_da_Vinci","/wiki/Niccol%C3%B2_Machiavelli"
"20","/wiki/Leonardo_da_Vinci","/wiki/Paracelsus"
"21","/wiki/Filippo_Brunelleschi","/wiki/Michelangelo"
"22","/wiki/Filippo_Brunelleschi","/wiki/Giotto_di_Bondone"
"23","/wiki/Filippo_Brunelleschi","/wiki/Donatello"
"24","/wiki/Filippo_Brunelleschi","/wiki/Piero_della_Francesca"
"25","/wiki/Filippo_Brunelleschi","/wiki/Lorenzo_Ghiberti"
"26","/wiki/Filippo_Brunelleschi","/wiki/Diego_Siloe"
"27","/wiki/Filippo_Brunelleschi","/wiki/Guillaume_Dufay"
"28","/wiki/Michelangelo","/wiki/Leonardo_da_Vinci"
